ram_gb,storage_gb,screen_size,weight_kg,cpu_score,gpu_score,age_years,price
8,512,13.6,2.22,19726,6084,5,1197.0
4,512,13.2,2.22,18173,981,1,1275.0
32,512,14.1,1.37,19082,13761,0,2246.0
8,512,12.4,1.7,10342,1586,1,1004.0
16,2048,13.7,1.94,15761,7673,3,1535.0
8,256,14.2,1.06,3119,10625,4,1028.0
16,2048,11.2,1.51,17473,15778,5,1743.0
4,512,13.5,2.29,5799,6824,4,785.0
8,1024,12.8,1.68,18805,10104,0,1527.0
4,512,15.0,0.93,18719,15606,3,1363.0
4,1024,16.1,1.61,14696,18427,4,1421.0
64,512,14.9,1.81,9063,16758,5,2605.0
16,1024,15.2,1.31,17488,11175,4,1764.0
8,256,14.9,1.65,8836,3778,4,894.0
16,512,12.6,2.27,7934,17221,2,1476.0
32,512,13.4,1.9,17918,15706,2,2252.0
8,256,16.3,1.89,14751,9088,3,1398.0
16,256,17.0,1.79,6549,14390,1,1596.0
16,1024,12.1,1.26,16829,13551,5,1496.0
8,1024,11.1,1.88,19778,3338,4,1185.0
16,512,17.1,1.91,15511,5707,2,1618.0
16,512,16.4,2.6,10871,17260,2,1673.0
32,512,14.8,1.4,8657,11933,2,1987.0
8,256,16.1,2.0,4832,1730,0,1078.0
32,512,14.7,2.09,5788,13428,3,1976.0
4,512,16.7,1.48,21251,7922,5,1184.0
16,512,12.5,1.44,17398,4223,0,1630.0
32,512,13.8,1.52,19988,3518,5,1757.0
4,256,15.2,0.88,5476,11104,4,940.0
8,1024,12.4,1.21,16644,6590,0,1590.0
32,512,15.5,1.53,20473,18472,0,2638.0
4,1024,12.7,1.4,6978,6362,4,781.0
16,512,15.5,1.81,7005,4434,5,1356.0
16,256,16.1,1.52,17035,1892,2,1303.0
16,512,13.7,1.76,19983,10020,5,1382.0
16,512,17.2,1.91,23009,4932,5,1491.0
8,2048,15.0,2.16,10824,16828,4,1719.0
8,1024,15.8,1.25,9046,13642,5,1430.0
8,256,11.1,1.53,22829,8808,5,1166.0
8,1024,11.7,1.62,15343,19322,0,1934.0
8,256,15.5,1.88,7963,1083,3,973.0
32,512,16.9,1.19,4914,4049,0,2023.0
16,512,15.0,1.35,6467,10746,1,1874.0
8,512,16.8,1.4,24258,3445,0,1640.0
8,512,11.4,1.89,17852,9513,3,955.0
64,512,16.6,1.85,19913,1401,4,2547.0
8,512,16.5,2.34,20020,18589,4,1564.0
64,512,15.0,2.46,15976,15924,1,3052.0
16,512,13.7,1.14,10688,13446,0,1746.0
16,512,15.4,1.64,8603,19866,0,1788.0
32,512,12.5,1.11,13383,15640,4,1835.0
16,512,15.2,1.61,19093,6417,3,1518.0
16,512,15.4,2.29,17559,7676,1,1627.0
8,512,14.4,1.36,13228,12455,1,1213.0
32,512,12.6,1.94,9494,17977,3,2095.0
8,256,11.0,1.15,21311,6921,2,1288.0
32,512,12.2,1.47,11558,16654,1,2111.0
4,256,16.3,1.87,6347,19056,1,1520.0
8,512,12.3,1.18,15453,2274,1,1059.0
16,256,11.5,1.52,5443,6557,5,972.0
64,512,12.6,1.25,9663,13384,5,2683.0
8,1024,14.3,1.72,9015,7808,4,1289.0
32,512,14.7,1.26,6211,18138,4,2034.0
16,256,16.5,1.42,17422,10181,0,1799.0
16,512,16.4,2.8,22989,13178,0,1903.0
16,256,17.1,2.3,8199,5772,1,1588.0
64,1024,16.6,2.13,5697,19437,4,2979.0
8,256,13.8,1.97,9911,10505,4,1066.0
8,512,11.9,2.01,24712,5588,5,912.0
8,512,17.0,1.73,20748,17799,0,1868.0
4,256,12.4,2.22,21579,11961,4,999.0
8,512,14.9,1.68,9497,8923,0,1541.0
32,256,12.7,1.59,12832,10901,4,1782.0
32,1024,16.1,1.68,5712,6018,1,1812.0
4,2048,12.3,1.22,21934,6258,1,1522.0
16,512,13.7,0.93,16657,4902,0,1912.0
8,1024,12.4,1.31,4414,15735,4,1396.0
16,256,16.4,1.89,19466,7534,4,1368.0
16,512,14.9,2.17,15376,8909,2,1554.0
8,512,15.0,2.22,4197,14734,1,1238.0
64,256,13.0,1.44,10778,13166,5,2345.0
8,1024,12.1,1.45,16291,4596,1,1339.0
16,1024,16.4,2.03,9616,15752,4,1966.0
16,256,15.8,2.07,7130,19599,2,1910.0
8,256,15.6,1.99,22685,14681,1,1752.0
4,1024,17.3,2.17,23715,15046,2,1749.0
8,2048,14.5,1.77,3841,2457,5,1023.0
16,512,12.1,2.14,4229,8261,1,1398.0
32,1024,14.8,2.26,21964,1577,4,1657.0
16,2048,12.8,1.79,9396,2797,4,1092.0
4,1024,14.2,1.55,4731,16495,1,1645.0
32,512,13.9,1.99,13583,3745,3,1720.0
32,256,14.6,2.21,17903,13180,1,2345.0
32,512,16.8,1.73,10553,6179,0,2037.0
16,512,16.1,2.76,9284,3388,0,1594.0
32,2048,13.6,1.47,10337,15269,2,2200.0
4,512,16.1,2.01,14592,3035,4,1072.0
4,512,16.4,2.19,10640,18388,1,1761.0
4,256,15.9,2.6,23356,10201,0,1688.0
8,512,14.5,1.85,20169,19476,2,1728.0
8,512,16.7,3.23,20542,3969,1,1509.0
8,1024,14.1,1.15,8444,16860,1,1546.0
16,256,11.7,0.85,5181,18646,4,1268.0
4,512,12.7,1.44,23376,17268,0,1810.0
16,512,15.1,2.05,9714,4866,1,1574.0
8,512,13.4,1.52,14011,9762,5,1261.0
16,256,13.7,1.14,13736,18902,1,1712.0
4,512,13.5,1.38,16802,1700,2,1168.0
8,1024,12.2,1.71,18770,14457,0,1796.0
32,256,11.6,1.45,6533,10453,0,1770.0
16,256,11.3,1.53,3123,11339,0,1071.0
32,512,15.2,1.87,18589,10668,3,2174.0
16,256,13.0,2.12,22006,13587,3,1775.0
16,1024,13.9,2.11,20903,15709,2,1982.0
8,1024,16.9,1.4,21520,13994,0,1754.0
16,2048,14.9,1.44,4552,1266,1,1273.0
4,1024,16.1,1.41,24036,6063,5,1460.0
32,512,15.8,1.59,8771,11821,4,1965.0
64,256,17.0,1.88,7454,10018,0,2883.0
32,1024,11.4,1.43,19893,11240,5,1894.0
4,1024,13.4,1.39,7691,1793,1,1065.0
8,1024,17.0,1.98,15082,11244,2,1539.0
8,512,13.9,1.24,21322,1435,1,1293.0
4,1024,17.0,2.89,21732,2480,2,1225.0
16,256,12.2,1.39,14323,18899,5,1591.0
16,512,11.4,1.06,13868,16196,1,1683.0
8,512,16.6,2.08,8395,17085,4,1541.0
32,512,13.6,1.43,9211,4530,5,1605.0
16,512,14.2,0.9,3373,15195,0,1576.0
4,256,16.9,2.08,12833,602,1,1294.0
16,512,12.4,1.1,7765,2527,0,1165.0
32,512,17.1,1.55,16581,12394,3,2210.0
8,512,13.5,2.05,17850,12663,0,1731.0
16,1024,12.6,1.53,9970,1549,1,1470.0
16,512,12.5,1.62,19122,14446,4,1358.0
16,512,14.3,1.86,24945,17788,5,1958.0
4,2048,13.9,1.76,10793,8894,4,1414.0
16,256,16.6,1.76,16133,11548,4,1765.0
16,512,11.3,1.35,23187,7869,3,1265.0
32,256,11.3,1.39,5253,18390,2,1827.0
32,512,12.0,1.22,14213,14662,2,2038.0
8,2048,14.8,2.07,8140,13532,3,1481.0
16,256,15.9,1.59,14386,700,2,1494.0
32,1024,14.0,1.18,9583,13529,0,2121.0
32,1024,14.9,1.35,11682,9676,3,2123.0
8,512,15.0,2.4,5717,14229,1,1455.0
4,1024,11.1,1.59,11873,5501,0,996.0
16,512,12.6,1.57,18994,3104,2,1286.0
8,512,17.3,1.86,10897,9153,4,1222.0
16,512,13.1,1.73,6839,9703,3,1324.0
32,256,17.0,2.49,21142,11275,4,2184.0
8,512,14.1,1.42,6656,1272,4,829.0
8,512,12.4,1.49,12683,8699,4,1232.0
8,2048,11.0,1.69,8149,13350,1,1327.0
16,512,12.4,1.24,8089,17597,1,1325.0
4,256,13.0,1.4,22570,2781,3,1053.0
8,2048,13.8,1.39,12576,17698,1,1917.0
4,256,13.8,1.12,22428,6743,5,1092.0
16,2048,14.5,1.79,23362,15310,5,1853.0
32,1024,14.0,1.7,17514,2254,5,1747.0
8,512,11.2,1.62,17057,15992,5,1547.0
8,512,12.7,1.24,19525,19540,4,1597.0
16,256,17.1,1.26,5310,10262,4,1296.0
8,256,11.2,1.39,16504,12217,3,1182.0
8,256,15.6,1.98,12221,5785,4,1327.0
8,512,14.0,1.08,14645,3516,0,1326.0
8,512,15.5,1.91,13266,16405,2,1662.0
4,2048,13.1,1.18,22066,18312,3,1979.0
16,512,13.3,1.83,3305,2772,5,1046.0
16,2048,14.3,1.11,20021,15576,4,1891.0
8,1024,16.7,2.54,24151,12086,4,1765.0
4,256,13.1,1.31,21947,15601,0,1755.0
16,512,11.5,1.11,23155,12850,2,1819.0
4,256,11.2,0.8,6917,18689,2,1397.0
4,256,16.6,1.74,5233,2628,4,742.0
4,2048,13.0,1.21,8274,932,1,1141.0
4,512,11.8,1.07,15149,4482,0,1120.0
32,256,14.8,1.23,4929,2409,1,1721.0
8,256,16.3,1.34,9875,13608,2,1381.0
8,512,14.8,2.1,6162,11125,0,1418.0
32,512,12.0,1.36,7660,17223,5,1677.0
16,256,13.6,2.34,14214,18236,3,1652.0
8,1024,12.7,1.48,9033,8120,2,1198.0
8,256,11.1,0.9,15017,16489,2,1449.0
32,1024,17.1,2.51,4177,10859,3,1907.0
8,512,13.9,1.99,19587,17046,0,1764.0
16,512,11.8,1.45,18140,14310,3,1612.0
4,512,16.6,1.69,16855,9727,0,1287.0
16,512,17.2,1.96,11066,11844,5,1626.0
16,2048,16.1,1.56,22738,4856,5,1649.0
32,1024,12.6,1.62,18394,9525,1,2091.0
16,256,12.2,0.89,10216,1254,1,1115.0
8,512,14.3,1.86,20937,12943,4,1593.0
4,256,14.7,1.23,23913,2139,3,1069.0
16,256,16.5,2.69,15598,14344,2,1797.0
16,256,17.1,1.69,13363,18291,5,1845.0
8,256,16.7,2.23,10559,16119,1,1777.0
8,2048,13.2,1.92,10033,8092,5,1375.0
16,1024,14.7,1.61,6080,11440,0,1750.0
16,1024,11.8,1.45,4356,12970,5,1136.0
32,512,14.3,1.7,17331,13387,3,2237.0
4,512,11.4,1.1,16225,8992,0,1465.0
8,512,11.7,1.3,17843,4308,1,1357.0
16,512,11.8,0.8,22133,3793,5,1412.0
16,256,12.9,1.75,20186,3650,3,1360.0
16,512,13.0,1.2,7955,936,3,1033.0
64,1024,15.4,1.32,6029,16290,2,3073.0
32,256,11.5,0.92,13733,8752,4,1853.0
32,256,11.7,1.58,4015,4860,2,1360.0
16,512,15.1,1.99,16425,16807,0,2074.0
8,512,15.2,1.64,22340,9020,5,1400.0
16,512,15.5,2.05,19029,15401,1,2034.0
8,1024,15.5,2.55,16340,17756,0,1889.0
16,256,15.2,2.05,21299,6968,5,1563.0
16,256,14.5,1.43,5072,3361,3,1243.0
16,512,15.7,1.68,11981,3159,4,1373.0
8,256,11.5,1.6,18598,13734,2,1269.0
8,1024,12.3,1.9,24521,12390,4,1623.0
8,2048,15.7,2.19,4238,5344,0,1428.0
4,512,12.2,1.57,4475,13096,4,846.0
32,256,14.3,2.25,16906,12706,2,2133.0
16,256,12.6,1.01,17774,17761,5,1468.0
8,1024,13.7,1.06,15207,16422,5,1604.0
16,2048,16.3,2.28,5129,6699,3,1723.0
16,512,15.2,2.38,18735,16498,1,1867.0
8,512,13.8,1.27,14155,12639,3,1509.0
32,512,12.7,1.13,5068,15663,4,1865.0
32,512,16.1,1.24,3632,18436,5,2014.0
8,1024,15.1,1.92,22988,10599,1,1570.0
4,512,13.8,1.34,21550,2744,3,1220.0
16,256,16.5,1.74,23688,11100,3,1806.0
64,256,15.4,1.9,6674,17862,4,2829.0
4,256,17.2,1.24,24662,3852,3,1347.0
16,1024,15.2,2.24,14543,5228,0,1780.0
32,512,16.7,1.62,19851,2775,0,2129.0
32,2048,14.5,1.75,17260,16462,4,2432.0
4,256,15.5,1.51,9856,15084,4,1408.0
4,512,16.3,1.89,10435,8340,5,1068.0
64,1024,11.6,1.36,24527,1518,2,2837.0
4,512,14.0,0.8,23456,18679,1,1846.0
8,256,14.8,1.7,16513,18688,1,1791.0
16,512,11.4,0.93,15845,6259,0,1482.0
8,512,16.0,2.08,18805,4122,1,1498.0
16,512,15.5,1.35,21881,17772,2,2179.0
8,512,16.9,1.73,17549,14541,5,1497.0
32,256,13.3,1.83,8075,7866,1,1864.0
8,2048,14.0,2.18,7546,9229,5,1290.0
16,512,16.7,1.59,24002,13436,2,1851.0
4,1024,13.6,2.34,21768,12448,2,1565.0
8,512,16.3,2.15,7372,3457,5,1082.0
4,256,13.7,1.38,17230,15253,1,1456.0
8,256,13.1,1.29,11863,5124,5,731.0
8,256,12.7,1.72,7859,6274,4,944.0
16,256,12.3,1.56,15637,16841,1,1688.0
8,256,13.7,1.35,11315,16592,0,1821.0
4,512,12.0,1.78,21339,14361,0,1574.0
64,512,16.2,2.04,6158,15228,5,2656.0
32,512,17.1,2.76,18684,4517,0,2012.0
32,1024,11.6,1.48,12522,11816,0,2132.0
8,256,11.3,1.08,23003,2192,4,1010.0
8,256,11.0,1.62,24769,11697,0,1491.0
8,1024,16.9,1.75,14810,15173,3,1660.0
4,512,11.5,1.46,11442,7989,2,971.0
4,512,15.3,2.42,20493,12587,3,1585.0
16,256,12.9,1.31,11699,19398,2,1601.0
4,512,12.2,1.58,12296,6104,3,980.0
8,256,12.6,1.48,20667,8057,0,1396.0
32,1024,15.3,1.57,3659,9414,2,1714.0
8,1024,11.1,1.71,4821,5200,1,1255.0
8,512,16.4,2.36,7982,10512,4,956.0
16,256,14.6,1.4,5633,11386,5,1432.0
8,1024,12.5,1.54,3893,8732,2,984.0
16,256,12.3,1.89,19406,18459,4,1703.0
8,512,15.1,1.83,4423,17820,1,1773.0
16,1024,15.0,2.44,5867,18555,0,1609.0
16,1024,13.0,1.61,3874,11424,4,1166.0
16,1024,13.1,1.67,16449,11773,5,1685.0
8,512,13.9,1.54,6831,2244,5,834.0
16,1024,16.7,1.6,20968,8146,2,1775.0
32,512,14.4,1.25,17577,7180,5,1808.0
8,256,16.3,2.54,15387,15069,5,1264.0
4,512,15.0,1.81,7016,16011,0,1476.0
4,512,14.5,1.42,4764,11401,1,1393.0
64,1024,14.1,1.8,24048,934,0,2846.0
32,1024,15.3,1.6,7541,16544,1,2243.0
8,256,14.1,1.8,12548,10496,1,1514.0
64,256,15.6,1.81,14888,16748,4,3120.0
8,512,12.1,1.77,15896,6758,5,978.0
16,512,13.0,1.85,23990,14194,2,1880.0
8,2048,16.5,1.47,6709,15249,0,1773.0
32,2048,13.5,1.51,17384,19470,1,2522.0
4,2048,16.3,2.42,16870,18384,3,1754.0
8,1024,16.9,2.85,18331,13149,3,1548.0
16,512,14.6,1.46,24452,2094,3,1310.0
4,256,11.6,0.98,16099,19507,3,1201.0
8,512,15.8,1.97,21036,5695,5,1170.0
8,256,15.2,1.46,10171,13212,1,1483.0
32,1024,12.8,1.46,8616,8391,4,1874.0
16,256,16.4,2.09,16369,4757,4,1312.0
32,256,14.0,1.29,12480,18117,5,1962.0
16,512,11.4,1.33,3210,12738,4,1305.0
16,512,11.4,1.75,13377,7228,0,1571.0
32,1024,12.4,1.77,12111,15471,4,1968.0
16,256,14.8,1.18,20565,19502,5,1816.0
16,256,16.1,1.95,20860,8751,3,1859.0
8,1024,11.6,1.73,16365,7095,5,1086.0
8,1024,11.1,0.94,7498,3771,1,1050.0
16,512,14.9,1.79,14518,7258,4,1215.0
8,512,13.6,1.22,17264,7358,4,1291.0
32,256,13.8,1.24,4032,18502,2,1967.0
16,1024,16.2,2.02,18849,15739,1,2268.0
8,1024,16.8,1.97,12791,8636,2,1437.0
32,512,17.1,1.56,6442,4549,0,1998.0
8,256,15.9,2.07,10527,13896,3,1482.0
16,256,11.0,1.12,21871,722,3,1449.0
4,512,11.9,1.39,8650,12607,2,1015.0
64,512,14.7,2.52,8364,17641,1,3113.0
16,256,17.0,1.64,22000,9135,2,1786.0
32,512,11.5,1.27,24178,19449,0,2482.0
8,512,14.2,1.7,11554,14448,3,1362.0
32,256,13.5,1.71,10580,17443,3,1956.0
16,512,13.6,1.9,9025,7757,3,1273.0
16,512,12.7,1.22,16455,16123,5,1317.0
64,512,12.7,1.44,5161,8458,0,2684.0
8,512,12.5,1.83,23869,14728,0,1766.0
8,512,11.6,1.56,5909,7866,0,1060.0
16,256,14.5,2.28,21038,11252,2,1689.0
32,1024,13.8,1.13,22645,1209,0,2362.0
8,512,15.5,1.59,13686,13210,0,1686.0
16,512,15.0,2.34,14837,18287,4,1674.0
8,1024,17.0,1.57,7278,15054,3,1727.0
16,1024,13.1,1.43,14224,5990,2,1411.0
16,1024,16.6,1.64,16526,6907,3,1629.0
4,1024,13.4,1.97,17714,19380,5,1416.0
16,512,15.2,1.36,15932,4502,2,1477.0
4,1024,16.1,2.02,16815,13535,3,1599.0
64,256,13.5,2.05,4407,14032,0,2807.0
8,512,13.8,1.72,3505,13004,5,971.0
8,256,15.0,2.12,11414,12267,4,1228.0
16,256,11.7,1.43,7133,19603,4,1490.0
16,256,14.4,1.77,23255,19812,3,1912.0
16,512,11.6,1.52,18285,8080,0,1623.0
4,256,12.4,1.11,14566,8584,3,1017.0
16,512,14.9,1.24,18004,5098,0,1592.0
16,1024,17.1,1.39,6983,8574,4,1484.0
32,1024,17.3,1.95,19848,18399,0,2530.0
4,256,12.6,0.97,17165,2880,5,927.0
8,512,11.9,1.75,20656,2843,4,1055.0
16,1024,14.3,1.59,12985,790,2,1256.0
16,256,13.8,1.6,17759,6655,1,1487.0
4,256,13.4,2.13,23103,3215,5,924.0
16,256,15.8,2.41,10421,13710,5,1405.0
8,512,15.5,1.59,13781,12044,1,1561.0
8,256,14.5,1.46,17895,17858,1,1708.0
32,512,14.9,1.56,3574,19294,2,1977.0
8,512,14.7,2.37,14544,5918,4,1296.0
8,512,15.3,2.08,6551,2708,1,1197.0
16,512,16.8,1.65,17227,18667,5,1838.0
16,512,17.0,1.96,6858,3620,2,1449.0
16,256,17.2,1.9,4502,2047,3,1195.0
32,1024,16.4,1.83,23926,13796,5,2234.0
8,1024,11.7,0.98,8086,15346,0,1558.0
16,1024,13.8,1.08,10905,6391,5,1626.0
32,256,15.9,1.0,15010,10653,2,2194.0
16,2048,12.9,1.91,10674,1390,2,1538.0
16,512,14.8,1.3,15208,6525,0,1611.0
8,256,11.3,0.88,24474,17809,1,1834.0
16,512,12.3,1.45,3839,15775,4,1623.0
8,512,13.5,1.62,7536,3405,1,1132.0
16,512,11.4,1.69,11351,18642,5,1613.0
8,256,13.7,1.19,16684,9009,5,1331.0
8,256,12.4,1.27,14175,6575,3,1200.0
16,512,16.4,1.69,23849,15213,2,2199.0
16,1024,13.0,1.7,6404,6780,1,1440.0
8,512,13.4,1.35,23019,15710,1,1828.0
32,256,16.1,2.27,4715,762,5,1266.0
8,512,14.5,2.31,6527,19138,5,1607.0
32,256,11.3,1.12,12520,15636,0,2143.0
16,256,12.4,1.63,13363,12054,3,1468.0
8,2048,14.8,1.45,23675,19513,5,2101.0
16,256,12.3,1.36,8545,3386,2,1112.0
4,512,12.6,2.0,13352,1857,3,876.0
8,512,14.9,2.32,18399,2068,5,949.0
32,256,14.1,1.63,16787,10611,0,2131.0
16,1024,12.7,1.97,8413,13039,4,1391.0
16,2048,14.5,1.12,6066,7983,3,1629.0
16,256,15.0,1.45,6892,10939,0,1571.0
16,512,11.2,0.9,11914,17289,4,1481.0
16,512,12.7,1.99,8982,5359,5,1045.0
8,256,12.9,2.18,14448,3505,3,999.0
8,512,16.5,2.16,5875,3717,2,1032.0
8,1024,11.3,1.01,4119,16488,2,1474.0
8,1024,13.2,2.0,18761,7330,1,1548.0
8,512,12.2,1.45,18356,18578,3,1607.0
64,256,15.4,2.52,9149,6114,5,2210.0
8,256,16.1,1.75,11909,12255,1,1554.0
8,512,11.4,1.0,11800,7414,2,1026.0
8,1024,16.4,1.58,4924,8603,4,1222.0
16,512,15.4,1.5,9057,7352,4,1338.0
32,512,12.4,1.35,8760,4879,3,1532.0
32,1024,16.8,1.48,11364,15174,4,2051.0
8,256,12.8,1.16,17972,8547,5,1081.0
8,256,16.0,2.24,9715,9501,1,1577.0
32,256,11.5,1.32,16196,10851,0,2004.0
8,2048,13.9,1.58,10776,17033,5,1540.0
16,256,14.2,1.91,14112,9070,1,1670.0
4,256,16.6,1.34,18596,10289,3,1438.0
32,512,16.3,1.23,15056,10983,5,2074.0
8,512,14.4,1.57,6824,6163,0,1107.0
8,256,11.3,1.36,24757,1006,3,995.0
8,1024,13.7,1.98,18106,18523,3,2080.0
8,256,13.4,0.87,16900,2379,3,1109.0
32,1024,17.3,2.35,10641,13203,0,2257.0
32,256,15.3,1.71,9957,16592,3,2054.0
8,1024,13.6,1.57,5058,16938,5,1396.0
16,256,13.3,1.83,12444,7588,4,1131.0
8,1024,15.8,1.64,5634,5042,3,1174.0
8,1024,11.6,1.32,12537,1248,0,1190.0
16,256,16.1,1.46,22810,19478,2,2161.0
8,256,15.2,2.46,23376,18399,1,1856.0
8,512,13.7,1.16,3923,12883,4,1083.0
16,512,15.5,1.24,15601,4338,3,1350.0
16,512,13.5,1.82,9078,7807,4,973.0
4,1024,11.9,1.37,6944,18969,2,1516.0
16,512,13.6,1.9,21997,5396,4,1271.0
32,512,11.3,1.5,5261,17882,2,1882.0
8,512,11.5,1.15,4748,2427,1,1133.0
4,512,13.8,1.84,5109,9086,2,996.0
16,512,16.2,1.31,7641,1141,0,1470.0
8,256,12.3,1.24,9420,7775,5,919.0
16,256,14.2,2.27,8913,4322,5,1135.0
8,256,17.2,1.85,7692,19623,2,1613.0
16,256,16.2,2.52,21387,6542,5,1379.0
8,1024,16.7,1.42,20954,5976,1,1798.0
8,256,15.3,2.05,5546,10847,2,1187.0
16,256,14.7,1.87,6339,7176,0,1273.0
16,512,14.7,1.75,23802,8260,2,1696.0
8,512,14.8,2.12,19378,7817,2,1480.0
64,256,13.9,1.5,5637,1385,2,2178.0
8,512,13.3,1.61,5666,7794,5,1019.0
8,512,12.5,2.13,15441,3315,1,1260.0
8,512,11.4,1.21,3017,1523,3,996.0
4,2048,13.3,1.66,20011,858,5,1061.0
8,1024,15.9,2.01,23863,11659,2,1826.0
16,512,14.5,1.6,15289,1288,3,1102.0
16,512,12.0,1.31,21816,6954,5,1341.0
8,512,16.1,2.04,14164,6300,4,1216.0
4,256,11.3,1.36,22131,8423,4,1178.0
8,2048,16.9,2.67,12626,12951,3,1657.0
16,256,15.1,2.0,9361,9706,1,1503.0
8,256,14.5,2.43,8558,3489,0,1055.0
32,512,13.6,1.98,3069,19632,2,1954.0
16,512,16.2,1.02,24836,17729,0,2291.0
16,256,11.0,1.07,3538,9348,3,1214.0
16,2048,11.1,0.8,11884,19752,0,2168.0
16,512,14.3,1.48,9698,5813,3,1431.0
8,512,12.9,0.98,17070,12493,2,1630.0
8,256,13.5,1.84,19038,19592,5,1300.0
8,1024,14.4,2.22,15814,1442,3,1091.0
8,256,11.3,1.12,4807,3578,5,672.0
4,512,17.2,1.94,24160,4040,5,1151.0
8,1024,15.3,1.78,21610,17139,1,2037.0
16,2048,11.6,0.8,8369,10464,5,1552.0
