bedrooms,bathrooms,sqft_living,sqft_lot,floors,age,condition,grade,loc_score,price
3,2.0,2240,11561,1.0,38,3,11,0.427,1053000.0
6,6.0,2573,8786,1.0,61,1,8,-0.474,1149000.0
5,5.0,2714,4473,1.5,67,1,4,-0.189,1008000.0
5,3.5,2191,12037,1.0,2,4,6,-1.424,912000.0
5,4.5,2328,15983,1.0,83,4,10,1.343,1233000.0
2,1.5,804,3561,1.0,30,4,10,-0.278,620000.0
3,2.0,1416,3640,2.0,71,2,5,-1.215,624000.0
3,2.0,1613,5440,1.5,42,3,9,1.253,859000.0
3,2.0,2026,9755,1.0,51,5,12,-0.504,1130000.0
1,1.0,917,6363,1.0,32,2,10,0.335,661000.0
4,4.0,2315,6057,3.0,76,4,10,0.841,1122000.0
1,0.5,1042,5709,1.5,10,1,5,0.474,486000.0
5,4.5,2738,17515,2.0,80,1,9,-2.197,1040000.0
5,5.0,2232,16928,1.5,18,5,10,0.695,1301000.0
6,6.5,3317,7492,2.0,79,1,4,-0.101,1087000.0
5,4.5,2104,15825,2.0,2,4,6,-0.329,1077000.0
3,2.0,1320,7141,1.0,1,3,11,-0.109,896000.0
6,5.5,2237,14504,2.0,8,5,12,-1.61,1330000.0
3,2.5,2249,4160,1.0,49,3,5,0.192,772000.0
2,2.0,1446,6926,2.0,23,4,10,-1.364,837000.0
6,5.0,2500,13868,1.0,53,5,8,-0.286,1120000.0
3,3.0,1925,6727,1.0,73,5,9,0.156,1037000.0
1,0.5,1056,4547,3.0,2,4,8,1.074,738000.0
3,2.5,2140,10920,2.0,47,1,11,-0.82,904000.0
5,5.0,1786,9094,1.0,66,1,8,1.452,881000.0
2,2.0,1120,1985,3.0,38,3,9,0.947,729000.0
3,2.5,1411,6147,1.0,83,4,10,-0.429,883000.0
1,1.0,400,1156,1.5,59,4,8,-1.109,522000.0
5,5.0,2568,19153,2.0,3,4,11,-1.444,1246000.0
3,2.5,1469,11528,1.0,48,1,6,0.272,664000.0
2,1.5,1422,4903,1.5,34,1,12,-0.737,893000.0
2,1.5,1908,5035,2.0,11,1,10,1.199,910000.0
4,3.5,1794,5251,1.0,85,3,12,-0.68,1029000.0
5,4.0,2124,9782,1.0,20,4,7,-0.901,994000.0
6,4.5,2636,18938,1.0,7,1,8,0.234,1128000.0
3,3.0,1846,8769,2.0,20,5,4,-0.686,793000.0
1,1.0,680,1265,1.0,74,2,12,0.009,689000.0
5,5.0,2061,3626,1.0,53,4,11,0.986,1194000.0
4,4.5,2217,6602,2.0,73,4,6,0.117,878000.0
5,5.0,2364,16496,1.0,41,1,4,0.121,916000.0
1,1.0,400,2216,1.0,10,5,10,0.205,716000.0
2,2.0,832,4292,2.0,34,5,10,-1.693,734000.0
5,4.0,2700,9648,2.0,17,5,8,0.392,1226000.0
5,4.0,2371,17880,1.0,50,1,5,0.16,893000.0
3,2.0,1321,4825,2.0,24,2,12,0.893,982000.0
5,4.5,2199,15233,2.0,87,2,7,0.606,956000.0
6,4.5,2604,19070,1.0,33,3,10,-0.202,1165000.0
3,2.0,1771,8220,2.0,28,5,11,1.032,1096000.0
6,5.5,2193,16037,2.0,88,4,8,-0.293,968000.0
2,1.5,948,3128,2.0,46,4,4,0.247,531000.0
2,1.5,1282,7410,1.5,15,3,11,-0.311,845000.0
5,5.0,2220,4599,2.0,43,5,10,0.462,1159000.0
4,4.0,2072,9491,3.0,22,5,12,-0.376,1195000.0
1,0.5,481,1401,1.5,64,5,9,1.648,596000.0
5,3.0,2357,4497,2.0,51,5,12,2.017,1300000.0
2,1.5,1527,2327,2.0,65,4,11,0.874,924000.0
5,5.0,2396,8652,2.0,84,1,5,1.541,906000.0
1,1.0,892,4756,3.0,65,2,5,-1.539,473000.0
5,3.5,2221,9903,1.0,30,4,5,-1.421,889000.0
5,5.0,2000,6923,1.0,18,2,11,-0.322,1142000.0
5,3.5,2228,17697,1.5,47,1,6,0.041,959000.0
4,3.0,2278,17329,1.0,40,5,8,-0.198,1103000.0
3,3.5,1514,3508,1.5,28,3,11,-1.642,945000.0
5,3.5,1983,8325,2.0,73,5,7,1.152,954000.0
2,1.5,1052,6015,2.0,81,2,4,2.154,463000.0
5,4.0,2310,14478,1.0,34,2,7,1.281,1041000.0
4,3.5,1788,6940,2.0,61,2,4,1.086,792000.0
3,3.0,1696,10771,1.0,88,2,7,0.226,787000.0
4,4.5,2057,4745,1.5,1,3,10,-0.843,924000.0
4,2.5,2167,7924,1.0,32,2,8,0.073,993000.0
1,0.5,1277,7862,1.5,66,5,10,2.106,893000.0
1,1.0,1149,6396,1.5,44,2,4,-0.352,468000.0
2,1.5,920,6387,2.0,71,3,10,-0.455,735000.0
1,1.0,579,1045,2.0,42,5,7,1.107,613000.0
3,3.0,1527,4021,1.0,5,3,6,1.174,784000.0
5,3.5,2115,3839,1.0,39,1,9,-0.848,1021000.0
4,4.0,1559,4285,1.0,36,1,5,-0.261,651000.0
3,2.0,1417,2165,3.0,76,3,8,-0.502,729000.0
6,5.0,2458,11743,2.0,13,4,7,0.07,1114000.0
4,3.5,1698,8378,1.0,13,5,5,1.104,831000.0
1,1.0,755,4361,1.0,12,1,12,-0.804,727000.0
5,4.5,2604,10421,1.0,51,3,7,1.09,1161000.0
4,3.5,1960,2981,2.0,89,2,4,0.102,778000.0
4,4.5,2642,15536,1.0,55,3,7,2.326,1167000.0
4,4.5,1951,3615,1.0,73,3,12,0.319,1030000.0
4,3.5,1813,12927,1.0,76,2,10,-0.097,883000.0
1,0.5,851,1402,1.0,54,1,9,0.575,610000.0
4,4.0,1977,9782,1.0,54,1,12,-0.337,1059000.0
5,5.5,2381,17422,1.0,21,3,4,-1.795,883000.0
2,1.5,1823,9518,2.0,86,2,8,-0.241,861000.0
4,3.5,1646,8978,1.5,70,2,6,-0.256,751000.0
1,1.0,1108,6571,1.0,78,1,10,-1.592,650000.0
3,2.0,1612,3701,1.5,88,1,11,-0.073,900000.0
3,3.0,1079,6352,1.5,31,1,4,-2.067,484000.0
6,4.5,2831,20446,2.0,12,2,5,-0.348,1177000.0
2,2.0,1580,12375,3.0,77,1,12,0.244,859000.0
2,2.0,943,4130,1.0,42,2,8,0.097,622000.0
3,3.0,1547,5785,2.0,86,2,6,-0.411,637000.0
6,5.0,2082,13318,2.0,62,2,5,-0.086,944000.0
6,4.5,2222,11174,2.0,23,1,7,-0.784,1000000.0
1,1.0,1164,3693,1.0,31,1,4,0.011,462000.0
2,2.0,1060,2776,1.0,54,5,6,0.058,603000.0
5,4.0,1917,4997,1.0,35,4,5,-0.9,899000.0
1,1.0,919,4121,3.0,25,1,4,0.268,464000.0
6,4.0,2443,6366,2.0,18,2,12,0.261,1314000.0
2,2.0,1059,1724,1.0,58,2,11,-0.166,768000.0
6,4.0,2822,5188,1.5,3,5,12,2.421,1491000.0
2,1.5,851,6420,1.0,8,5,6,-0.141,636000.0
3,2.5,1278,2523,1.0,3,4,6,-0.279,699000.0
4,2.5,1946,3845,2.0,66,1,6,-0.422,753000.0
1,0.5,1141,5058,1.5,2,3,9,-0.971,653000.0
4,2.5,2271,7025,2.0,37,3,5,0.686,911000.0
4,3.5,1700,13188,2.0,10,4,6,-0.686,875000.0
5,5.0,2531,18784,2.0,52,5,12,-0.568,1338000.0
6,3.5,2365,9769,2.0,3,2,7,-0.538,1043000.0
4,3.5,2448,10812,1.0,2,3,11,-0.985,1169000.0
3,3.0,1210,4765,2.0,36,2,6,-1.751,683000.0
3,2.0,1949,3403,2.0,62,2,12,-0.463,1038000.0
3,2.0,1353,4605,1.0,9,2,10,0.873,943000.0
5,5.0,2854,6557,1.0,44,4,11,0.197,1390000.0
2,2.0,1377,2982,1.0,72,3,8,1.561,771000.0
2,1.5,895,4605,1.0,56,4,12,0.751,852000.0
3,3.0,1393,2984,1.5,67,4,7,0.524,806000.0
1,0.5,1084,2351,1.0,28,2,8,1.883,643000.0
1,1.0,1166,5391,2.0,84,5,4,-0.097,466000.0
1,1.0,829,3627,1.0,13,1,5,0.063,415000.0
5,3.5,2263,5419,1.0,54,5,10,-0.011,1122000.0
5,5.0,2478,3789,1.0,39,1,6,1.544,1014000.0
5,4.5,2290,6307,1.0,2,2,4,0.003,841000.0
3,3.0,1162,3525,3.0,84,5,6,-0.648,659000.0
5,4.0,2006,13443,1.0,63,4,7,0.588,956000.0
1,1.0,921,6862,1.0,20,2,10,-0.816,735000.0
6,4.5,2965,12271,1.0,4,5,4,0.533,1228000.0
4,3.0,2385,9856,1.0,60,1,4,0.414,839000.0
6,6.0,2834,17376,2.0,49,4,10,-0.189,1276000.0
1,0.5,936,5218,2.0,4,3,5,0.566,577000.0
3,2.0,1775,4787,1.0,88,2,7,-1.488,708000.0
5,3.5,2050,4510,2.0,64,5,10,0.163,1067000.0
3,2.0,1504,6534,1.5,41,4,8,-0.463,766000.0
3,3.0,1303,6738,2.0,21,1,5,2.862,705000.0
1,1.0,475,1141,1.5,24,1,10,0.156,583000.0
3,3.5,1650,5620,1.0,40,1,4,-0.596,686000.0
2,1.5,1256,4382,2.0,5,3,6,-1.378,655000.0
2,2.0,1406,4497,2.0,33,3,4,1.305,734000.0
5,4.0,2414,10851,1.5,19,4,8,-0.35,1126000.0
4,3.0,1973,11335,3.0,10,4,10,-0.791,1060000.0
4,4.0,2067,9944,2.0,11,1,9,0.336,1004000.0
3,3.5,1537,4318,1.0,31,3,5,0.65,704000.0
6,6.0,2724,5909,2.0,34,4,7,0.634,1170000.0
1,0.5,632,4324,2.0,31,5,5,0.02,451000.0
3,2.0,1661,7666,1.5,62,2,7,0.159,643000.0
1,1.0,1051,2001,1.5,46,1,6,0.232,489000.0
3,2.0,1349,4287,2.0,17,1,10,0.336,909000.0
6,6.0,2616,17596,2.0,87,2,10,0.425,1223000.0
3,2.5,1363,8704,1.5,65,3,11,1.094,897000.0
6,5.5,2442,17565,1.0,42,2,5,0.056,1005000.0
3,3.0,1213,6567,1.0,4,1,4,-0.817,484000.0
5,5.0,2630,11175,2.0,82,2,4,-0.144,929000.0
3,2.0,1870,7991,2.0,67,2,11,0.754,1033000.0
2,1.0,1361,3758,1.0,41,3,12,-1.787,831000.0
5,4.5,2842,16285,2.0,14,1,5,-1.781,903000.0
6,5.0,2543,13485,2.0,9,4,11,0.918,1310000.0
2,1.5,2110,5289,1.5,26,3,8,1.52,1018000.0
5,4.0,2182,15834,1.0,20,2,5,-1.265,873000.0
2,2.0,1277,4974,1.5,18,5,6,0.1,658000.0
5,5.0,2131,3885,1.0,36,4,6,-0.4,1067000.0
5,4.5,2362,8577,1.0,4,1,10,-0.261,1076000.0
3,2.5,1801,12884,2.0,29,1,5,0.306,727000.0
5,3.5,2216,16532,2.0,78,1,5,-1.293,737000.0
2,1.5,1733,8124,1.0,77,3,10,-1.107,791000.0
1,1.0,922,7114,2.0,0,2,6,-0.301,536000.0
1,1.0,931,6693,2.0,61,2,6,-0.145,536000.0
3,3.0,1277,8765,1.0,89,3,11,-1.126,879000.0
6,4.0,2726,19322,1.0,52,3,12,0.79,1306000.0
1,0.5,810,3226,2.0,35,1,8,-0.418,497000.0
3,2.0,1368,8779,2.0,44,1,11,-0.422,858000.0
5,5.0,2017,10595,1.0,19,4,11,0.283,1199000.0
2,2.0,2002,12368,2.0,35,5,9,-0.129,987000.0
5,3.5,2171,5765,2.0,84,5,11,0.837,1159000.0
2,2.0,763,4772,2.0,55,5,4,-0.933,465000.0
5,4.0,2041,15765,2.0,38,3,4,-1.397,796000.0
4,3.5,1885,6536,1.0,11,5,11,-0.31,1098000.0
4,4.5,2064,16326,1.0,81,5,5,0.06,931000.0
2,1.5,1366,5409,1.0,14,5,10,-1.241,952000.0
3,2.0,1753,4905,2.0,64,1,7,-1.388,716000.0
6,5.5,2407,5367,2.0,27,1,11,0.182,1209000.0
1,0.5,952,6285,2.0,25,3,9,-0.758,664000.0
5,4.5,1987,10146,1.0,15,3,4,-1.453,779000.0
3,2.0,1364,4769,1.5,33,5,7,0.965,839000.0
5,3.0,1975,10773,1.0,60,2,10,-0.632,993000.0
4,3.0,1543,5645,1.0,37,5,12,1.15,1063000.0
3,2.5,1869,8250,1.0,2,5,11,0.028,1126000.0
2,1.5,1407,10000,2.0,23,5,12,0.295,982000.0
4,2.5,2193,12814,1.0,14,1,12,-0.211,1066000.0
1,1.0,862,5565,2.0,36,2,12,-2.655,695000.0
4,3.0,2133,11289,3.0,81,2,9,-1.137,931000.0
1,1.0,400,3178,2.0,86,4,7,-0.126,495000.0
4,2.5,2159,6626,1.0,89,4,8,0.365,986000.0
4,3.0,1953,6259,2.0,10,3,11,-1.79,1019000.0
1,0.5,1038,2181,2.0,43,1,7,-0.054,532000.0
5,4.5,2364,12059,1.5,4,3,11,-1.122,1189000.0
3,2.0,1254,6880,2.0,44,4,10,0.235,867000.0
5,5.0,1801,11200,2.0,51,3,5,-0.019,855000.0
1,1.0,636,2341,1.5,69,2,12,0.744,716000.0
2,1.5,1369,2163,1.5,30,3,11,1.067,901000.0
3,2.0,1757,9856,1.5,3,4,9,0.459,1007000.0
2,1.5,790,6313,1.0,40,3,5,0.86,501000.0
2,2.0,906,3094,2.0,38,5,6,-0.35,723000.0
4,2.5,1683,4537,1.0,56,2,11,2.823,1065000.0
1,1.0,743,2475,1.0,8,4,4,-1.219,390000.0
5,5.0,1841,7852,1.0,55,5,8,-0.528,989000.0
1,1.0,423,1324,1.0,36,2,9,0.901,606000.0
2,1.5,953,3579,1.0,66,2,6,0.753,541000.0
4,4.5,1926,10879,2.0,88,1,11,0.487,950000.0
5,3.0,1896,7096,1.0,20,2,8,0.675,903000.0
2,1.5,1165,4747,1.0,67,1,4,-2.084,441000.0
2,1.5,1518,2672,2.0,11,4,6,1.589,711000.0
6,6.5,2209,16494,3.0,88,1,7,-0.204,908000.0
6,5.5,2538,10519,1.5,43,4,6,1.246,1142000.0
4,4.0,2207,8018,1.0,67,3,12,-2.034,1075000.0
3,2.0,1425,2939,1.0,69,5,7,0.257,731000.0
3,3.5,1378,7747,1.0,54,2,8,-0.564,740000.0
4,3.5,2249,16001,1.0,34,2,8,0.572,948000.0
4,3.5,1808,3196,2.0,67,2,5,0.317,778000.0
2,2.0,1531,3742,2.0,42,3,9,0.366,805000.0
1,1.0,979,2400,1.0,59,2,7,-1.059,505000.0
1,1.0,747,4045,3.0,55,1,4,-0.057,391000.0
6,5.5,2744,20547,1.0,41,5,7,-0.18,1174000.0
3,2.0,1646,7153,1.0,10,4,9,0.495,900000.0
3,2.5,1856,6932,1.0,26,1,5,0.989,679000.0
3,2.0,1385,8972,1.0,84,4,11,0.15,898000.0
5,3.5,2262,14311,2.0,46,2,9,-1.276,1005000.0
1,1.0,832,2582,1.0,57,1,6,0.108,452000.0
1,1.0,1061,2701,2.0,23,3,9,2.611,742000.0
2,1.5,892,3413,1.0,63,4,6,1.646,614000.0
3,2.5,1855,12134,2.0,43,1,9,-2.974,819000.0
5,4.0,2390,14383,2.0,19,2,5,0.063,950000.0
3,2.5,1155,6731,1.5,13,5,9,0.932,945000.0
3,3.0,1912,13176,1.0,35,2,4,-0.182,765000.0
6,6.5,3270,10795,2.0,50,1,4,-0.46,1094000.0
1,1.0,1151,4268,1.5,25,3,6,-0.267,634000.0
4,3.0,2328,4133,1.0,22,4,5,0.552,943000.0
4,3.5,1926,13765,2.0,24,5,8,-1.148,964000.0
3,2.5,1052,5561,1.0,26,4,5,1.189,723000.0
5,4.0,1697,5834,1.0,66,1,6,-0.056,728000.0
2,2.0,1277,2492,1.5,44,5,4,-0.935,587000.0
6,5.5,2422,15022,1.0,42,4,11,1.124,1347000.0
2,1.5,926,5896,1.5,14,4,10,-1.545,744000.0
4,3.0,1881,10967,1.0,49,5,5,-0.555,797000.0
4,3.0,2085,5889,1.0,86,4,5,-0.572,723000.0
6,4.0,2164,16091,1.0,67,2,11,2.144,1068000.0
3,2.0,1415,9050,1.0,40,3,10,-0.685,935000.0
2,2.0,1653,9547,3.0,27,3,11,-2.155,902000.0
1,1.0,527,3020,1.5,31,3,5,-0.582,388000.0
3,2.0,1811,13362,1.5,2,4,7,0.456,912000.0
5,4.5,2105,15859,1.0,2,4,5,0.784,933000.0
1,1.0,1014,5447,2.0,69,1,7,2.277,595000.0
6,4.5,2929,12326,1.0,75,3,5,1.407,1049000.0
4,4.0,2122,8200,1.0,87,1,4,0.188,692000.0
1,1.0,1123,7663,2.0,56,3,8,-0.891,536000.0
2,2.0,855,4865,1.5,83,3,12,1.624,749000.0
4,3.5,2234,4473,2.0,37,2,9,-0.369,1059000.0
2,1.5,944,2288,2.0,22,5,10,-0.658,727000.0
1,1.0,928,6822,2.0,22,2,11,-0.417,758000.0
4,3.0,1977,14332,1.0,21,1,12,-1.252,1083000.0
5,5.5,2396,18418,1.0,67,2,5,-0.465,928000.0
1,1.0,951,4071,1.0,0,4,6,-0.233,589000.0
2,1.0,947,6247,2.0,85,1,9,0.731,633000.0
2,1.0,795,5472,2.0,69,3,11,-0.388,677000.0
4,4.0,2162,7679,2.0,34,3,10,-1.267,1102000.0
5,4.5,2306,5637,1.0,63,5,10,-1.604,1190000.0
5,3.0,2595,20710,2.0,12,1,6,0.21,1063000.0
6,6.0,2587,4389,1.5,38,1,7,0.073,989000.0
5,5.0,1828,9840,2.0,9,3,4,-0.554,800000.0
2,1.5,1490,8532,1.5,10,1,6,-0.467,667000.0
1,1.0,739,4383,1.0,0,4,5,0.388,557000.0
4,2.5,2003,6333,1.0,71,2,12,1.391,1005000.0
6,6.0,2406,14894,3.0,66,3,4,-0.78,845000.0
6,4.5,3093,8990,1.0,80,1,7,0.089,1179000.0
2,2.0,937,6455,1.0,88,4,11,0.958,769000.0
2,1.5,1099,3214,1.0,86,3,12,-0.776,717000.0
1,1.0,882,5317,1.0,89,1,7,-0.016,445000.0
1,0.5,522,3441,2.0,1,2,8,-0.038,562000.0
4,2.5,1999,5454,1.0,70,1,8,-1.311,784000.0
4,4.0,2384,7264,1.0,65,1,11,0.168,1120000.0
3,2.5,1403,9210,2.0,14,4,10,0.032,873000.0
2,1.5,1319,2716,1.5,12,3,8,0.555,697000.0
5,5.5,1425,3904,1.0,87,5,7,-1.187,879000.0
3,3.0,1538,6861,1.0,79,2,7,0.01,755000.0
5,5.0,2156,16270,1.0,29,4,9,1.382,1138000.0
6,4.0,2354,12128,1.0,6,4,11,2.077,1277000.0
2,2.0,1524,6126,1.0,30,4,4,1.28,765000.0
2,2.0,1102,8661,1.0,0,5,10,-1.177,852000.0
6,4.5,2547,11497,2.0,61,4,8,0.451,1187000.0
4,2.5,1787,7719,2.0,34,4,5,-0.483,749000.0
2,2.0,625,2610,2.0,4,4,4,0.284,504000.0
4,3.5,1560,5506,1.0,88,3,7,-0.772,772000.0
4,3.5,2188,7914,1.0,74,4,6,-1.713,827000.0
6,6.5,1967,11745,3.0,81,5,4,-0.345,877000.0
2,2.0,970,1712,2.0,89,4,6,0.723,564000.0
6,5.0,2480,14711,1.5,1,4,11,0.288,1322000.0
6,4.5,3123,8769,1.0,69,1,10,0.403,1206000.0
2,1.5,1431,5720,1.0,70,3,5,0.216,645000.0
1,0.5,683,1675,1.5,70,1,10,0.405,602000.0
4,4.0,2291,11668,1.5,23,1,8,0.53,1012000.0
1,1.0,628,3919,1.0,35,2,10,-0.275,642000.0
2,1.5,1503,5719,3.0,83,3,6,0.083,642000.0
3,2.5,1142,2926,1.5,5,3,4,1.743,628000.0
6,6.0,2922,8685,1.5,57,5,6,0.142,1208000.0
6,3.5,2478,16894,1.0,71,4,12,0.043,1264000.0
1,1.0,541,1753,2.0,71,3,9,0.103,538000.0
6,5.0,2535,16568,2.0,53,2,4,-0.218,908000.0
1,1.0,933,3408,1.0,69,4,12,-0.435,762000.0
5,3.5,2102,5732,1.5,81,2,11,0.209,1031000.0
6,5.5,2766,17225,2.0,68,5,8,-0.506,1263000.0
6,4.5,2425,11023,2.0,10,4,10,-0.146,1231000.0
2,2.0,1386,2361,1.0,22,4,5,-0.791,654000.0
6,3.5,2733,21152,2.0,27,2,9,0.108,1133000.0
1,1.0,832,2047,1.5,30,4,12,0.584,847000.0
4,3.5,1768,6713,1.0,32,5,7,-0.212,878000.0
3,2.0,1595,6382,1.0,19,1,4,-2.008,548000.0
2,1.5,1365,6390,1.0,61,1,10,0.59,820000.0
1,0.5,1469,9703,1.0,9,3,10,0.12,862000.0
5,4.0,2532,3898,1.5,70,2,10,-0.993,979000.0
3,2.0,1843,13935,2.0,59,4,9,0.773,934000.0
4,4.5,2827,16111,1.0,86,3,5,-1.398,960000.0
3,2.5,1705,13093,3.0,0,5,5,1.045,830000.0
3,3.0,1695,11548,1.0,26,2,11,-0.057,986000.0
6,6.5,2811,21169,1.5,80,2,11,-2.269,1146000.0
1,0.5,547,2957,2.0,44,1,4,0.178,209000.0
5,4.5,2117,8092,2.0,50,2,9,-0.406,971000.0
5,5.0,2098,9187,2.0,2,2,8,-0.557,1035000.0
3,3.0,1744,10075,2.0,68,4,7,-0.738,665000.0
2,1.5,1148,4908,1.0,22,2,9,-0.127,694000.0
1,1.0,891,5574,1.0,86,2,12,-0.485,619000.0
6,3.5,2926,6136,1.0,33,2,11,-1.857,1211000.0
6,5.0,2859,19713,1.0,16,3,5,1.272,1231000.0
2,2.0,1151,3254,1.0,53,4,8,-0.244,703000.0
1,1.0,649,4956,1.0,42,5,12,-0.732,742000.0
1,0.5,1191,2991,2.0,42,1,6,-1.128,553000.0
1,1.0,1082,2531,2.0,85,5,11,0.771,803000.0
5,4.0,1768,11982,2.0,32,2,8,-1.298,871000.0
6,6.5,2506,17095,2.0,35,5,8,0.134,1255000.0
1,0.5,900,5672,1.0,56,1,6,-0.584,480000.0
5,5.5,2484,19235,1.0,15,4,12,-0.525,1324000.0
2,2.0,1473,4800,2.0,74,5,8,-1.104,750000.0
3,2.0,1635,11238,2.0,20,1,9,-0.62,814000.0
4,2.5,2076,7864,1.0,21,4,8,0.009,1024000.0
5,5.0,2269,11329,1.5,0,1,4,0.235,890000.0
6,4.0,2398,10543,1.5,30,5,11,-0.786,1277000.0
1,1.0,772,1187,1.0,52,4,6,-0.091,473000.0
2,2.0,1206,6312,1.0,63,5,6,0.888,756000.0
2,2.0,1190,7567,1.0,80,5,11,-1.663,818000.0
2,1.5,634,1670,2.0,70,2,5,-0.006,379000.0
6,5.0,2481,18746,3.0,28,3,10,-0.951,1208000.0
5,3.0,2267,11216,1.5,74,4,8,-1.053,940000.0
2,2.0,1116,2967,2.0,17,1,11,0.261,814000.0
6,4.5,2526,14395,2.0,18,2,4,-0.545,919000.0
3,2.0,1696,4660,1.0,32,1,10,-1.217,844000.0
4,3.0,1576,3015,2.0,48,5,6,1.324,885000.0
3,3.0,1062,6324,1.5,18,2,11,0.92,903000.0
1,0.5,746,1656,1.5,81,3,7,-1.932,391000.0
6,6.0,2829,6197,1.0,24,3,4,-1.474,976000.0
1,1.0,1356,8556,2.0,35,2,8,0.593,735000.0
2,2.0,1435,2667,3.0,54,4,4,-0.285,625000.0
2,2.0,760,5140,1.0,38,5,6,1.501,607000.0
2,2.0,1130,7543,1.0,36,3,10,0.616,884000.0
1,1.0,927,2242,1.0,88,5,9,0.299,709000.0
1,0.5,903,4397,2.0,39,1,10,-1.022,593000.0
5,5.0,2412,5133,1.5,10,5,11,0.491,1258000.0
6,5.0,2325,13047,1.0,65,1,8,-1.276,976000.0
1,1.0,869,1659,2.0,63,1,8,1.305,578000.0
2,2.0,1326,10129,1.0,19,1,4,0.422,641000.0
4,4.5,2148,6122,1.5,76,2,6,-0.825,896000.0
6,5.5,2358,14004,1.0,35,5,10,0.805,1257000.0
5,4.0,2146,5009,1.5,13,2,4,2.242,950000.0
5,4.0,1439,4119,1.5,15,4,7,-0.218,892000.0
4,3.0,1714,7595,1.0,64,3,5,0.55,759000.0
3,2.5,1393,7279,1.0,19,1,11,-0.432,893000.0
2,1.5,894,7145,2.0,42,3,9,0.085,715000.0
6,4.0,2650,4422,1.5,66,2,9,-1.507,1098000.0
5,3.0,2233,3354,2.0,76,2,10,-0.001,992000.0
1,1.0,400,1511,1.5,44,3,6,0.044,403000.0
5,4.0,2315,8982,2.0,81,4,4,1.799,910000.0
1,1.0,572,4144,1.0,27,3,7,-1.795,440000.0
5,4.5,2396,17807,2.0,78,2,5,-0.281,831000.0
5,3.0,1865,13472,1.0,22,4,6,1.288,954000.0
1,0.5,859,2088,1.0,5,4,6,-0.242,580000.0
3,2.0,1465,6122,1.0,65,2,11,-0.171,803000.0
1,1.0,941,5974,1.0,68,5,6,-0.833,531000.0
4,3.0,1937,6841,2.0,83,5,5,-0.933,773000.0
6,5.0,2523,14661,3.0,82,4,12,-1.826,1225000.0
1,1.0,400,1217,2.0,9,2,4,-0.629,296000.0
3,3.5,1107,3988,1.0,55,2,5,-0.989,508000.0
