make,city,year,engine_cc,fuel_type,transmission,mileage_km,price_pkr
Honda,Faisalabad,2010,1300,Petrol,Manual,,350000.0
Honda,Faisalabad,2020,1000,Hybrid,Automatic,,3013000.0
Honda,Faisalabad,2012,1000,Diesel,Automatic,241057.0,935000.0
Toyota,Faisalabad,2014,1800,Diesel,Automatic,97759.0,2632000.0
Honda,Karachi,2010,1000,petrol,Manual,238804.0,383000.0
Toyota,Lahore,2017,1500,Hybrid,Automatic,127032.0,2921000.0
Toyota,Multan,2012,1500,Petrol,Manual,113797.0,1334000.0
Suzuki,Lahore,2008,1500,Petrol,Manual,295553.0,393000.0
Suzuki,Peshawar,2020,1000,Petrol,Automatic,57757.0,
Suzuki,Lahore,2022,1800,Petrol,Automatic,500.0,4024000.0
Toyota,Faisalabad,2008,1300,Petrol,Manual,275984.0,561000.0
Suzuki,Islamabad,2020,1000,Petrol,Manual,21726.0,2741000.0
Suzuki,Lahore,2017,1500,Petrol,Manual,145217.0,2512000.0
Toyota,Faisalabad,2012,2000,Petrol,Automatic,247257.0,1765000.0
KIA,Faisalabad,2012,660,Petrol,Manual,144882.0,625000.0
Nissan,Multan,2020,1000,Hybrid,Manual,23156.0,3240000.0
Toyota,Peshawar,2019,1300,Petrol,Manual,78144.0,2433000.0
Hyundai,Karachi,2014,1300,Diesel,Manual,113387.0,1503000.0
Honda,Islamabad,2018,1300,Petrol,Automatic,62413.0,2832000.0
Nissan,Karachi,2011,1300,Petrol,Manual,224828.0,525000.0
Honda,Karachi,2022,1300,Petrol,Manual,33899.0,3449000.0
Suzuki,Multan,2011,1500,Hybrid,Manual,,522000.0
Toyota,Lahore,2009,1800,petrol,Manual,184405.0,446000.0
Kia,Peshawar,2005,1500,Petrol,Automatic,121410.0,350000.0
Hyundai,Lahore,2015,1300,Petrol,Manual,,1877000.0
Suzuki,Multan,2011,1000,Petrol,Manual,180687.0,350000.0
Toyota,Karachi,2011,1000,Hybrid,Automatic,255175.0,780000.0
Suzuki,Karachi,2013,1300,Petrol,Automatic,167675.0,1234000.0
Toyota,Karachi,2014,660,Petrol,Manual,140624.0,524000.0
Honda,Peshawar,2022,1300,Petrol,Manual,31123.0,3266000.0
Suzuki,Islamabad,2021,1300,Petrol,Manual,71213.0,2624000.0
Toyota,Islamabad,2006,1300,Petrol,Manual,129947.0,350000.0
Toyota,Karachi,2008,1800,Petrol,Manual,231310.0,985000.0
Suzuki,Peshawar,2018,1300,Petrol,Manual,45437.0,2778000.0
Suzuki,Peshawar,2015,660,Petrol,Automatic,114116.0,1401000.0
Toyota,Multan,2012,660,Hybrid,Manual,65408.0,721000.0
Kia,Multan,2010,1000,Petrol,Manual,146411.0,350000.0
Honda,Peshawar,2010,1300,Petrol,Manual,251621.0,
Toyota,Islamabad,2008,1500,Petrol,Manual,279217.0,877000.0
Toyota,Islamabad,2008,2000,Petrol,Manual,316915.0,350000.0
Toyota,Karachi,2011,660,Hybrid,Manual,164263.0,726000.0
Toyota,Faisalabad,2009,1800,Petrol,Automatic,188309.0,1110000.0
Honda,Multan,2017,660,Petrol,Automatic,43349.0,2103000.0
Suzuki,Karachi,2017,1500,Petrol,Automatic,147314.0,2249000.0
Hyundai,Peshawar,2018,1000,Diesel,Automatic,34004.0,2237000.0
HONDA,Islamabad,2010,1300,Petrol,Manual,210527.0,610000.0
Kia,Multan,2020,1300,Petrol,Manual,25965.0,3031000.0
Kia,Islamabad,2020,660,Petrol,Automatic,,2810000.0
Toyota,Islamabad,2018,1300,Petrol,Automatic,115396.0,2438000.0
Toyota,Islamabad,2017,1000,Petrol,Automatic,90170.0,2264000.0
Kia,Multan,2009,1800,Diesel,Automatic,295495.0,873000.0
Toyota,Karachi,2022,1000,Petrol,Manual,38095.0,2977000.0
Hyundai,Lahore,2018,1500,Petrol,Automatic,117549.0,2726000.0
Hyundai,Peshawar,2018,660,Petrol,Automatic,,2212000.0
Suzuki,Islamabad,2021,1300,Petrol,Manual,71213.0,2624000.0
Hyundai,Islamabad,2012,1300,Petrol,Automatic,203913.0,941000.0
Suzuki,Lahore,2006,1500,Petrol,Manual,193375.0,350000.0
Honda,Lahore,2022,1300,Petrol,Automatic,15195.0,3358000.0
Hyundai,Islamabad,2014,1000,Hybrid,Automatic,141221.0,2263000.0
Suzuki,Peshawar,2006,1500,Petrol,Automatic,226702.0,741000.0
Suzuki,Faisalabad,2019,1300,Hybrid,Automatic,49430.0,3687000.0
Honda,Lahore,2022,1300,Hybrid,Automatic,19022.0,4175000.0
Honda,Karachi,2018,1500,Diesel,Automatic,,2837000.0
Honda,Multan,2017,1000,Petrol,Manual,,1440000.0
Toyota,Lahore,2014,1500,Petrol,Automatic,999999.0,1775000.0
Suzuki,Islamabad,2005,1000,Hybrid,Manual,155297.0,350000.0
Suzuki,Karachi,2007,660,Petrol,Automatic,269483.0,350000.0
Toyota,Multan,2018,660,Hybrid,Manual,,1943000.0
Hyundai,Karachi,2015,1000,Petrol,Manual,,1863000.0
TOYOTA,Lahore,2009,660,Petrol,Automatic,208385.0,350000.0
Toyota,Peshawar,2006,1300,Petrol,Manual,161601.0,350000.0
Honda,Peshawar,2020,1300,Diesel,Automatic,74062.0,3427000.0
Honda,Faisalabad,2019,1000,Petrol,Automatic,41921.0,3060000.0
Honda,Karachi,2012,1500,Petrol,Automatic,217412.0,1351000.0
Kia,Lahore,2021,1000,Petrol,Automatic,58844.0,
Suzuki,Karachi,2017,1300,Petrol,Manual,94427.0,2429000.0
Suzuki,Faisalabad,2012,1300,Petrol,Automatic,177530.0,824000.0
Nissan,Multan,2020,1500,Petrol,Manual,59592.0,3209000.0
Honda,Faisalabad,2020,1500,Diesel,Manual,59043.0,3304000.0
Suzuki,Karachi,2019,660,Diesel,Automatic,76772.0,2120000.0
Toyota,Karachi,2021,1300,Petrol,Manual,31152.0,3171000.0
Honda,Faisalabad,2016,1000,Petrol,Automatic,119903.0,2034000.0
Toyota,Peshawar,2017,1800,Petrol,Manual,59086.0,2776000.0
Toyota,Islamabad,2021,660,Diesel,Manual,29007.0,
Toyota,Islamabad,2008,1000,Petrol,Manual,259739.0,350000.0
Suzuki,Multan,2015,1000,Petrol,Manual,113617.0,1394000.0
Toyota,Multan,2008,660,Hybrid,Manual,123049.0,565000.0
Kia,Islamabad,2018,660,Petrol,Automatic,91068.0,2393000.0
Suzuki,Karachi,2011,1000,Hybrid,Manual,272769.0,
Nissan,Faisalabad,2008,1500,Petrol,Manual,313236.0,350000.0
Suzuki,Islamabad,2006,1300,Petrol,Manual,235358.0,350000.0
Honda,Lahore,2012,1800,Diesel,Automatic,176972.0,1678000.0
Suzuki,Peshawar,2014,1500,Petrol,Manual,76599.0,2293000.0
Toyota,Peshawar,2012,1300,Petrol,Automatic,176415.0,1552000.0
Kia,Multan,2021,1500,Diesel,Automatic,69728.0,4075000.0
Honda,Karachi,2007,1500,Hybrid,Automatic,140215.0,1118000.0
Toyota,Peshawar,2012,1500,Petrol,Automatic,204083.0,
Honda,Multan,2020,1000,Petrol,Automatic,40446.0,2925000.0
Honda,Multan,2018,1300,petrol,Manual,117917.0,2294000.0
Hyundai,Multan,2010,1300,Petrol,Automatic,227219.0,662000.0
Kia,Peshawar,2006,660,Petrol,Automatic,234701.0,350000.0
Kia,Multan,2013,1500,Hybrid,Automatic,98628.0,3127000.0
Honda,Lahore,2019,1000,Petrol,Manual,,2454000.0
Suzuki,Karachi,2019,2000,Petrol,Manual,46261.0,3386000.0
Suzuki,Faisalabad,2007,1000,Petrol,Manual,307211.0,350000.0
Toyota,Karachi,2013,1300,Petrol,Manual,179945.0,1597000.0
Toyota,Islamabad,2016,1300,Hybrid,Automatic,,2770000.0
Kia,Peshawar,2016,1500,Petrol,Manual,102084.0,2285000.0
Honda,Multan,2009,1300,Petrol,Manual,224089.0,603000.0
Suzuki,Karachi,2016,660,Petrol,Automatic,115488.0,1261000.0
Suzuki,Peshawar,2021,1500,Petrol,Manual,39329.0,3579000.0
Nissan,Lahore,2021,1800,Petrol,Automatic,500.0,4273000.0
Toyota,Peshawar,2011,1300,Diesel,Automatic,163349.0,517000.0
Honda,Lahore,2005,1000,Diesel,Automatic,,350000.0
Toyota,Faisalabad,2016,1500,Petrol,Manual,60745.0,1986000.0
Toyota,Faisalabad,2021,1000,Hybrid,Manual,27768.0,3365000.0
Nissan,Karachi,2008,1500,Petrol,Automatic,185389.0,905000.0
Honda,Multan,2017,660,Petrol,Manual,138080.0,1729000.0
Toyota,Faisalabad,2014,1300,Hybrid,Manual,139209.0,1781000.0
Kia,Faisalabad,2005,1500,Hybrid,Manual,298501.0,350000.0
Toyota,Karachi,2016,1800,Hybrid,Manual,65178.0,
Toyota,Multan,2007,660,Petrol,Automatic,229355.0,350000.0
Kia,Lahore,2013,1800,Diesel,Automatic,166022.0,1916000.0
Toyota,Faisalabad,2018,1000,Diesel,Manual,32699.0,2484000.0
Toyota,Islamabad,2007,1000,Petrol,Manual,118899.0,350000.0
Toyota,Multan,2005,1300,Hybrid,Manual,299401.0,350000.0
Honda,Faisalabad,2007,1000,Petrol,Manual,220572.0,350000.0
Honda,Lahore,2015,1800,Petrol,Automatic,124674.0,2923000.0
Toyota,Karachi,2011,1500,Hybrid,Manual,158034.0,1974000.0
Nissan,Multan,2020,1500,Petrol,Manual,59592.0,3209000.0
Suzuki,Peshawar,2005,1300,Petrol,Manual,230051.0,350000.0
Kia,Lahore,2016,1300,Diesel,Manual,110166.0,1472000.0
Toyota,Lahore,2017,1500,Hybrid,Automatic,127032.0,2921000.0
Honda,Peshawar,2016,1000,Petrol,Manual,175380.0,1847000.0
Nissan,Lahore,2009,1000,Petrol,Manual,221693.0,404000.0
Suzuki,Peshawar,2015,1300,Hybrid,Automatic,118520.0,2464000.0
Toyota,Karachi,2021,660,Petrol,Manual,40673.0,2066000.0
Honda,Faisalabad,2020,1500,Petrol,Manual,46614.0,3300000.0
Honda,Peshawar,2012,1800,Petrol,Manual,212046.0,1547000.0
Toyota,Lahore,2016,660,Petrol,Automatic,102620.0,1274000.0
Suzuki,Islamabad,2006,1000,Petrol,Manual,212985.0,350000.0
Suzuki,Lahore,2006,1300,Petrol,Automatic,251178.0,350000.0
Honda,Islamabad,2018,1000,Diesel,Automatic,62084.0,2890000.0
Honda,Multan,2015,1000,Petrol,Manual,86684.0,1909000.0
Kia,Faisalabad,2018,1500,Diesel,Automatic,98940.0,3097000.0
Honda,Lahore,2014,1300,Petrol,Manual,175748.0,1283000.0
Suzuki,Islamabad,2010,1000,Diesel,Automatic,210010.0,350000.0
Suzuki,Peshawar,2022,660,Petrol,Automatic,35963.0,3097000.0
Toyota,Karachi,2013,1300,Petrol,Manual,152628.0,862000.0
Hyundai,Karachi,2012,1800,Petrol,Automatic,125883.0,2081000.0
Suzuki,Faisalabad,2020,1000,Diesel,Manual,64741.0,2269000.0
Toyota,Karachi,2020,1300,Petrol,Automatic,999999.0,2669000.0
Toyota,Karachi,2007,1500,Petrol,Manual,133148.0,773000.0
Suzuki,Lahore,2006,1300,Petrol,Automatic,251178.0,350000.0
Suzuki,Lahore,2014,1000,diesel,Manual,92890.0,1288000.0
Suzuki,Multan,2008,1500,Petrol,Manual,,594000.0
Honda,Karachi,2011,660,Diesel,Automatic,,479000.0
Hyundai,Islamabad,2012,660,Diesel,Manual,112127.0,1324000.0
Suzuki,Islamabad,2017,1000,Petrol,Manual,128611.0,1493000.0
Suzuki,Faisalabad,2016,1300,Petrol,Automatic,151932.0,2663000.0
Toyota,Peshawar,2012,1300,Petrol,Manual,209107.0,1005000.0
Hyundai,Multan,2008,1500,Petrol,Manual,315246.0,350000.0
Toyota,Faisalabad,2007,660,Hybrid,Manual,,350000.0
Toyota,Multan,2005,1000,Petrol,Manual,263122.0,350000.0
Kia,Multan,2009,1500,Petrol,Manual,229548.0,350000.0
Honda,Islamabad,2007,660,Petrol,Manual,223249.0,350000.0
Suzuki,Faisalabad,2019,1300,hybrid,Manual,83440.0,2911000.0
Suzuki,Faisalabad,2012,1000,Diesel,Manual,146641.0,841000.0
Honda,Peshawar,2013,1000,Petrol,Automatic,147693.0,1578000.0
Toyota,Islamabad,2009,1000,Diesel,Automatic,222497.0,377000.0
Toyota,Islamabad,2015,1300,Diesel,Manual,128865.0,2161000.0
Nissan,Lahore,2015,1500,Diesel,Automatic,132668.0,1562000.0
Toyota,Peshawar,2016,1800,Diesel,Manual,86383.0,2449000.0
HYUNDAI,Karachi,2014,1800,Hybrid,Automatic,126678.0,2165000.0
Hyundai,Karachi,2020,1000,Petrol,Manual,30561.0,2822000.0
Kia,Lahore,2012,1500,Diesel,Manual,156248.0,1041000.0
Toyota,Lahore,2009,1300,Hybrid,Manual,256650.0,426000.0
Toyota,Lahore,2012,660,Petrol,Manual,126509.0,932000.0
Toyota,Lahore,2015,1800,Petrol,Manual,143311.0,2304000.0
Hyundai,Karachi,2014,660,Petrol,Manual,,1301000.0
Hyundai,Islamabad,2005,1800,Petrol,Automatic,205248.0,448000.0
Suzuki,Peshawar,2018,1500,Diesel,Automatic,21868.0,3509000.0
Toyota,Peshawar,2011,1800,Petrol,Automatic,163945.0,1529000.0
Honda,Multan,2011,1300,petrol,Manual,212933.0,350000.0
Suzuki,Karachi,2012,1000,Petrol,Automatic,178369.0,862000.0
Toyota,Peshawar,2015,1000,Hybrid,Manual,89144.0,1994000.0
Suzuki,Lahore,2005,1000,Petrol,Manual,335911.0,350000.0
Toyota,Multan,2007,660,Petrol,Manual,329866.0,350000.0
Toyota,Karachi,2013,1500,Petrol,Automatic,160178.0,866000.0
Honda,Multan,2007,1500,Petrol,Manual,191422.0,761000.0
Toyota,Karachi,2016,1300,Petrol,Manual,111623.0,1798000.0
Toyota,Islamabad,2011,1000,Petrol,Automatic,192070.0,350000.0
Hyundai,Islamabad,2011,1500,Diesel,Automatic,190813.0,964000.0
Honda,Multan,2017,660,Petrol,Manual,138080.0,1729000.0
Suzuki,Faisalabad,2018,1300,Petrol,Manual,73525.0,2487000.0
Hyundai,Peshawar,2014,1300,hybrid,Manual,132937.0,2010000.0
Honda,Multan,2015,1800,Hybrid,Manual,148002.0,2680000.0
Honda,Peshawar,2006,660,Hybrid,Automatic,233270.0,350000.0
Suzuki,Multan,2022,1000,Petrol,Manual,7206.0,3143000.0
Toyota,Lahore,2020,660,Petrol,Automatic,42154.0,2885000.0
Honda,Islamabad,2022,1500,Petrol,Automatic,22607.0,3773000.0
Toyota,Peshawar,2010,1300,Diesel,Manual,166790.0,350000.0
Toyota,Lahore,2017,2000,Petrol,Automatic,89997.0,3041000.0
Kia,Peshawar,2012,1300,Petrol,Manual,93445.0,808000.0
Suzuki,Islamabad,2018,660,Diesel,Automatic,97331.0,2021000.0
Kia,Lahore,2019,1500,Petrol,Manual,71554.0,3111000.0
Suzuki,Peshawar,2010,1500,Petrol,Manual,154835.0,1362000.0
Honda,Multan,2016,1300,Petrol,Manual,162676.0,2154000.0
Suzuki,Lahore,2022,660,Hybrid,Manual,40114.0,3281000.0
Toyota,Faisalabad,2013,1300,Petrol,Manual,132628.0,1319000.0
Honda,Islamabad,2015,2000,Petrol,Manual,106773.0,2520000.0
HYUNDAI,Karachi,2022,1300,Petrol,Manual,14878.0,3871000.0
Hyundai,Multan,2022,660,Petrol,Manual,24770.0,
Kia,Karachi,2017,1300,Diesel,Automatic,126538.0,1845000.0
Toyota,Peshawar,2013,2000,Hybrid,Automatic,143776.0,2625000.0
Toyota,Peshawar,2015,1500,Diesel,Automatic,159665.0,1698000.0
Kia,Islamabad,2020,1300,Petrol,Automatic,92305.0,2928000.0
Hyundai,Lahore,2013,1500,Petrol,Manual,176762.0,1404000.0
Kia,Karachi,2011,1800,Hybrid,Manual,128867.0,1142000.0
Honda,Lahore,2009,1500,Petrol,Manual,226881.0,350000.0
Toyota,Lahore,2008,1000,Petrol,Automatic,244311.0,487000.0
Honda,Lahore,2015,1800,Petrol,Manual,163340.0,1967000.0
Honda,Multan,2008,660,Petrol,Manual,314335.0,350000.0
Toyota,Karachi,2016,1000,Petrol,Manual,133012.0,1506000.0
Honda,Islamabad,2011,1000,Petrol,Automatic,163686.0,1009000.0
Toyota,Lahore,2007,1300,Diesel,Automatic,273217.0,350000.0
Nissan,Karachi,2005,1300,Hybrid,Manual,305333.0,350000.0
Toyota,Islamabad,2010,1800,Petrol,Automatic,206826.0,916000.0
Suzuki,Lahore,2008,2000,Hybrid,Automatic,147727.0,1532000.0
Honda,Multan,2014,1500,Hybrid,Manual,157897.0,2358000.0
Toyota,Islamabad,2019,1000,Diesel,Manual,101241.0,2006000.0
